match_id,date,detailed_stage,stage_group,team,opponent,team_position,goals_for,goals_against,result_decision,result,fouls_committed
1,11/06/2026,GROUP STAGE,Group Stage,Mexico,South Africa,Team 1,2,0,Normal Time / Extra Time,Win,12
1,11/06/2026,GROUP STAGE,Group Stage,South Africa,Mexico,Team 2,0,2,Normal Time / Extra Time,Loss,11
2,12/06/2026,GROUP STAGE,Group Stage,South Korea,Czech Republic,Team 1,2,1,Normal Time / Extra Time,Win,9
2,12/06/2026,GROUP STAGE,Group Stage,Czech Republic,South Korea,Team 2,1,2,Normal Time / Extra Time,Loss,16
3,12/06/2026,GROUP STAGE,Group Stage,Canada,Bosnia & Herzegovina,Team 1,1,1,Normal Time / Extra Time,Draw,10
3,12/06/2026,GROUP STAGE,Group Stage,Bosnia & Herzegovina,Canada,Team 2,1,1,Normal Time / Extra Time,Draw,20
4,13/06/2026,GROUP STAGE,Group Stage,USA,Paraguay,Team 1,4,1,Normal Time / Extra Time,Win,13
4,13/06/2026,GROUP STAGE,Group Stage,Paraguay,USA,Team 2,1,4,Normal Time / Extra Time,Loss,17
5,13/06/2026,GROUP STAGE,Group Stage,Qatar,Switzerland,Team 1,1,1,Normal Time / Extra Time,Draw,12
5,13/06/2026,GROUP STAGE,Group Stage,Switzerland,Qatar,Team 2,1,1,Normal Time / Extra Time,Draw,11
6,13/06/2026,GROUP STAGE,Group Stage,Brazil,Morocco,Team 1,1,1,Normal Time / Extra Time,Draw,16
6,13/06/2026,GROUP STAGE,Group Stage,Morocco,Brazil,Team 2,1,1,Normal Time / Extra Time,Draw,14
7,14/06/2026,GROUP STAGE,Group Stage,Haiti,Scotland,Team 1,0,1,Normal Time / Extra Time,Loss,23
7,14/06/2026,GROUP STAGE,Group Stage,Scotland,Haiti,Team 2,1,0,Normal Time / Extra Time,Win,21
8,14/06/2026,GROUP STAGE,Group Stage,Australia,Turkey,Team 1,2,0,Normal Time / Extra Time,Win,12
8,14/06/2026,GROUP STAGE,Group Stage,Turkey,Australia,Team 2,0,2,Normal Time / Extra Time,Loss,4
9,14/06/2026,GROUP STAGE,Group Stage,Germany,Curacao,Team 1,7,1,Normal Time / Extra Time,Win,18
9,14/06/2026,GROUP STAGE,Group Stage,Curacao,Germany,Team 2,1,7,Normal Time / Extra Time,Loss,11
10,14/06/2026,GROUP STAGE,Group Stage,Netherlands,Japan,Team 1,2,2,Normal Time / Extra Time,Draw,7
10,14/06/2026,GROUP STAGE,Group Stage,Japan,Netherlands,Team 2,2,2,Normal Time / Extra Time,Draw,7
11,15/06/2026,GROUP STAGE,Group Stage,Ivory Coast,Ecuador,Team 1,1,0,Normal Time / Extra Time,Win,10
11,15/06/2026,GROUP STAGE,Group Stage,Ecuador,Ivory Coast,Team 2,0,1,Normal Time / Extra Time,Loss,13
12,15/06/2026,GROUP STAGE,Group Stage,Sweden,Tunisia,Team 1,5,1,Normal Time / Extra Time,Win,10
12,15/06/2026,GROUP STAGE,Group Stage,Tunisia,Sweden,Team 2,1,5,Normal Time / Extra Time,Loss,8
13,15/06/2026,GROUP STAGE,Group Stage,Spain,Cape Verde,Team 1,0,0,Normal Time / Extra Time,Draw,10
13,15/06/2026,GROUP STAGE,Group Stage,Cape Verde,Spain,Team 2,0,0,Normal Time / Extra Time,Draw,1
14,15/06/2026,GROUP STAGE,Group Stage,Belgium,Egypt,Team 1,1,1,Normal Time / Extra Time,Draw,15
14,15/06/2026,GROUP STAGE,Group Stage,Egypt,Belgium,Team 2,1,1,Normal Time / Extra Time,Draw,15
15,15/06/2026,GROUP STAGE,Group Stage,Saudi Arabia,Uruguay,Team 1,1,1,Normal Time / Extra Time,Draw,11
15,15/06/2026,GROUP STAGE,Group Stage,Uruguay,Saudi Arabia,Team 2,1,1,Normal Time / Extra Time,Draw,6
16,16/06/2026,GROUP STAGE,Group Stage,Iran,New Zealand,Team 1,2,2,Normal Time / Extra Time,Draw,10
16,16/06/2026,GROUP STAGE,Group Stage,New Zealand,Iran,Team 2,2,2,Normal Time / Extra Time,Draw,8
17,16/06/2026,GROUP STAGE,Group Stage,France,Senegal,Team 1,3,1,Normal Time / Extra Time,Win,5
17,16/06/2026,GROUP STAGE,Group Stage,Senegal,France,Team 2,1,3,Normal Time / Extra Time,Loss,9
18,16/06/2026,GROUP STAGE,Group Stage,Iraq,Norway,Team 1,1,4,Normal Time / Extra Time,Loss,12
18,16/06/2026,GROUP STAGE,Group Stage,Norway,Iraq,Team 2,4,1,Normal Time / Extra Time,Win,13
19,17/06/2026,GROUP STAGE,Group Stage,Argentina,Algeria,Team 1,3,0,Normal Time / Extra Time,Win,13
