match_id,date,detailed_stage,stage_group,team_1,team_2,team_1_score_raw,team_2_score_raw,team_1_goals,team_2_goals,result_decision,team_1_fouls,team_2_fouls
1,11/06/2026,GROUP STAGE,Group Stage,Mexico,South Africa,2,0,2,0,Normal Time / Extra Time,12,11
2,12/06/2026,GROUP STAGE,Group Stage,South Korea,Czech Republic,2,1,2,1,Normal Time / Extra Time,9,16
3,12/06/2026,GROUP STAGE,Group Stage,Canada,Bosnia & Herzegovina,1,1,1,1,Normal Time / Extra Time,10,20
4,13/06/2026,GROUP STAGE,Group Stage,USA,Paraguay,4,1,4,1,Normal Time / Extra Time,13,17
5,13/06/2026,GROUP STAGE,Group Stage,Qatar,Switzerland,1,1,1,1,Normal Time / Extra Time,12,11
6,13/06/2026,GROUP STAGE,Group Stage,Brazil,Morocco,1,1,1,1,Normal Time / Extra Time,16,14
7,14/06/2026,GROUP STAGE,Group Stage,Haiti,Scotland,0,1,0,1,Normal Time / Extra Time,23,21
8,14/06/2026,GROUP STAGE,Group Stage,Australia,Turkey,2,0,2,0,Normal Time / Extra Time,12,4
9,14/06/2026,GROUP STAGE,Group Stage,Germany,Curacao,7,1,7,1,Normal Time / Extra Time,18,11
10,14/06/2026,GROUP STAGE,Group Stage,Netherlands,Japan,2,2,2,2,Normal Time / Extra Time,7,7
11,15/06/2026,GROUP STAGE,Group Stage,Ivory Coast,Ecuador,1,0,1,0,Normal Time / Extra Time,10,13
12,15/06/2026,GROUP STAGE,Group Stage,Sweden,Tunisia,5,1,5,1,Normal Time / Extra Time,10,8
13,15/06/2026,GROUP STAGE,Group Stage,Spain,Cape Verde,0,0,0,0,Normal Time / Extra Time,10,1
14,15/06/2026,GROUP STAGE,Group Stage,Belgium,Egypt,1,1,1,1,Normal Time / Extra Time,15,15
15,15/06/2026,GROUP STAGE,Group Stage,Saudi Arabia,Uruguay,1,1,1,1,Normal Time / Extra Time,11,6
16,16/06/2026,GROUP STAGE,Group Stage,Iran,New Zealand,2,2,2,2,Normal Time / Extra Time,10,8
17,16/06/2026,GROUP STAGE,Group Stage,France,Senegal,3,1,3,1,Normal Time / Extra Time,5,9
18,16/06/2026,GROUP STAGE,Group Stage,Iraq,Norway,1,4,1,4,Normal Time / Extra Time,12,13
19,17/06/2026,GROUP STAGE,Group Stage,Argentina,Algeria,3,0,3,0,Normal Time / Extra Time,13,8
20,17/06/2026,GROUP STAGE,Group Stage,Austria,Jordan,3,1,3,1,Normal Time / Extra Time,12,7
21,17/06/2026,GROUP STAGE,Group Stage,Portugal,D.R. Congo,1,1,1,1,Normal Time / Extra Time,9,10
22,17/06/2026,GROUP STAGE,Group Stage,England,Croatia,4,2,4,2,Normal Time / Extra Time,10,12
23,18/06/2026,GROUP STAGE,Group Stage,Ghana,Panama,1,0,1,0,Normal Time / Extra Time,9,11
24,18/06/2026,GROUP STAGE,Group Stage,Uzbekistan,Colombia,1,3,1,3,Normal Time / Extra Time,14,11
25,18/06/2026,GROUP STAGE,Group Stage,Czech Republic,South Africa,1,1,1,1,Normal Time / Extra Time,12,10
26,18/06/2026,GROUP STAGE,Group Stage,Switzerland,Bosnia & Herzegovina,4,1,4,1,Normal Time / Extra Time,7,18
27,18/06/2026,GROUP STAGE,Group Stage,Canada,Qatar,6,0,6,0,Normal Time / Extra Time,9,10
28,19/06/2026,GROUP STAGE,Group Stage,Mexico,South Korea,1,0,1,0,Normal Time / Extra Time,9,7
29,19/06/2026,GROUP STAGE,Group Stage,USA,Australia,2,0,2,0,Normal Time / Extra Time,12,16
30,19/06/2026,GROUP STAGE,Group Stage,Scotland,Morocco,0,1,0,1,Normal Time / Extra Time,11,8
31,20/06/2026,GROUP STAGE,Group Stage,Brazil,Haiti,3,0,3,0,Normal Time / Extra Time,13,14
32,20/06/2026,GROUP STAGE,Group Stage,Turkey,Paraguay,0,1,0,1,Normal Time / Extra Time,14,15
33,20/06/2026,GROUP STAGE,Group Stage,Netherlands,Sweden,5,1,5,1,Normal Time / Extra Time,9,12
34,20/06/2026,GROUP STAGE,Group Stage,Germany,Ivory Coast,2,1,2,1,Normal Time / Extra Time,5,7
35,21/06/2026,GROUP STAGE,Group Stage,Ecuador,Curacao,0,0,0,0,Normal Time / Extra Time,7,10
36,21/06/2026,GROUP STAGE,Group Stage,Tunisia,Japan,0,4,0,4,Normal Time / Extra Time,8,15
37,21/06/2026,GROUP STAGE,Group Stage,Spain,Saudi Arabia,4,0,4,0,Normal Time / Extra Time,10,2
38,21/06/2026,GROUP STAGE,Group Stage,Belgium,Iran,0,0,0,0,Normal Time / Extra Time,7,9
39,21/06/2026,GROUP STAGE,Group Stage,Uruguay,Cape Verde,2,2,2,2,Normal Time / Extra Time,11,4
40,22/06/2026,GROUP STAGE,Group Stage,New Zealand,Egypt,1,3,1,3,Normal Time / Extra Time,14,8
41,22/06/2026,GROUP STAGE,Group Stage,Argentina,Austria,2,0,2,0,Normal Time / Extra Time,13,13
42,22/06/2026,GROUP STAGE,Group Stage,France,Iraq,3,0,3,0,Normal Time / Extra Time,8,4
43,23/06/2026,GROUP STAGE,Group Stage,Norway,Senegal,3,2,3,2,Normal Time / Extra Time,13,5
44,23/06/2026,GROUP STAGE,Group Stage,Jordan,Algeria,1,2,1,2,Normal Time / Extra Time,11,6
45,23/06/2026,GROUP STAGE,Group Stage,Portugal,Uzbekistan,5,0,5,0,Normal Time / Extra Time,14,15
46,23/06/2026,GROUP STAGE,Group Stage,England,Ghana,0,0,0,0,Normal Time / Extra Time,14,24
47,24/06/2026,GROUP STAGE,Group Stage,Panama,Croatia,0,1,0,1,Normal Time / Extra Time,19,12
