Sample_ID,Rank,Player,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Accuracy_Group
1,154,Hakan Calhanoglu,190,171,90,10,10,0,5,60,7,86,90% or greater
2,122,Nico Oreilly,216,200,93,6,50,4,6,67,2,100,90% or greater
3,92,Fares Chaibi,244,220,90,7,0,3,10,50,3,100,90% or greater
4,159,Reece James,188,173,92,11,27,3,8,38,3,33,90% or greater
5,194,Hans Vanaken,164,153,93,3,0,1,2,50,2,100,90% or greater
6,17,Neil El Aynaoui,433,405,94,0,0,1,3,0,3,67,90% or greater
7,124,Daniel Munoz,213,194,91,9,22,0,5,20,0,0,90% or greater
8,174,Denzel Dumfries,179,147,82,17,29,1,13,54,0,0,Below 90%
9,92,Ramy Rabia,244,224,92,0,0,0,2,50,8,50,90% or greater
10,1,Rodri,799,747,93,3,0,2,21,90,11,91,90% or greater
11,77,Lamine Yamal,265,225,85,40,20,35,36,72,3,100,Below 90%
12,40,Renato Veiga,336,320,95,0,0,1,4,50,1,100,90% or greater
13,52,Ricardo Rodriguez,295,243,82,17,18,1,24,33,4,50,Below 90%
14,98,Willian Pacho,238,217,91,0,0,1,2,0,0,0,90% or greater
15,157,Leroy Sane,189,161,85,11,18,7,9,44,0,0,Below 90%
16,14,Elliot Anderson,445,396,89,6,50,1,17,71,10,90,Below 90%
17,67,Bruno Fernandes,278,239,86,22,23,3,20,65,10,90,Below 90%
18,130,Gustaf Lagerbielke,206,173,84,1,0,1,7,57,1,100,Below 90%
19,117,Weston Mckennie,220,173,79,11,27,6,27,74,4,75,Below 90%
20,124,Mbekezeli Mbokazi,213,185,87,2,0,2,7,57,3,67,Below 90%
21,12,Lisandro Martinez,450,422,94,3,0,2,9,67,1,100,90% or greater
22,154,Lucas Paqueta,190,162,85,5,0,2,8,63,1,100,Below 90%
23,96,Jhon Arias,240,227,95,6,17,6,7,71,3,100,90% or greater
24,71,Jefferson Lerma,274,242,88,2,50,1,2,0,1,100,Below 90%
25,79,Ayyoub Bouaddi,264,237,90,0,0,6,1,100,1,100,90% or greater
26,104,Kylian Mbappe,232,201,87,10,10,28,31,81,12,92,Below 90%
27,100,James Rodriguez,237,199,84,17,29,2,14,50,9,67,Below 90%
28,187,Arthur Masuaku,169,141,83,14,21,2,6,67,5,80,Below 90%
29,80,Manu Kone,263,242,92,1,0,2,3,100,2,50,90% or greater
30,74,Idrissa Gana Gueye,270,243,90,1,0,0,8,63,5,100,90% or greater
31,175,Andres Andrade,178,147,83,8,0,0,7,29,5,80,Below 90%
32,73,Florian Wirtz,271,223,82,12,42,14,15,67,2,100,Below 90%
33,58,Jhon Lucumi,285,262,92,0,0,1,6,17,12,100,90% or greater
34,35,Marawan Attia,357,313,88,8,38,0,15,47,8,100,Below 90%
35,184,Derek Cornelius,170,151,89,1,0,0,2,50,1,0,Below 90%
36,55,Chris Richards,291,277,95,0,0,0,2,0,2,100,90% or greater
37,163,David Moller Wolfe,186,162,87,7,14,3,7,43,0,0,Below 90%
38,38,Virgil Van Dijk,347,330,95,0,0,1,1,100,1,100,90% or greater
39,132,Richie Laryea,202,167,83,4,25,2,15,60,1,100,Below 90%
40,128,Mateo Kovacic,208,198,95,0,0,2,3,67,2,100,90% or greater
41,46,Unai Simon,314,253,81,0,0,0,5,20,2,100,Below 90%
42,138,Lee Hanbeom,200,183,92,2,50,0,3,33,1,100,90% or greater
43,105,Tyler Adams,231,211,91,0,0,0,6,67,1,100,90% or greater
44,6,Enzo Fernandez,519,480,92,5,40,5,21,71,8,88,90% or greater
45,170,Ahmed Fatouh,182,163,90,7,14,1,11,64,0,0,90% or greater
46,98,Bilal El Khannouss,238,186,78,14,14,6,23,65,2,100,Below 90%
47,37,Adrien Rabiot,351,323,92,2,0,2,13,77,1,100,90% or greater
48,33,Davinson Sanchez,361,324,90,0,0,1,10,20,6,100,90% or greater
49,126,Yassine Bounou,211,142,67,0,0,0,9,0,0,0,Below 90%
