Player,Team,Pos,90s,SoT/90,Team_Status
Denis Višinský,Czechia,FW,0.6,0.0,Eliminated
Mojmír Chytil,Czechia,FW,0.1,0.0,Eliminated
Wilson Isidor,Haiti,FW,2.1,0.97,Eliminated
Yassin Fortuné,Haiti,FWMF,0.1,0.0,Eliminated
Ali Alipour,IR Iran,FW,0.4,0.0,Eliminated
Mehdi Ghayedi,IR Iran,FW,0.5,0.0,Eliminated
Shahriar Moghanlou,IR Iran,FW,1.0,0.0,Eliminated
Ahmed Qasem,Iraq,MFFW,1.4,0.0,Eliminated
Ali Yousif,Iraq,FW,0.4,0.0,Eliminated
Mohanad Ali,Iraq,FW,0.1,0.0,Eliminated
Musa Al-Taamari,Jordan,FW,2.4,1.26,Eliminated
Odeh Al-Fakhouri,Jordan,MFFW,1.6,0.61,Eliminated
Lee Jae-sung,Korea Republic,FW,1.3,0.77,Eliminated
Chris Wood,New Zealand,FW,3.0,0.67,Eliminated
Cecilio Waterman,Panama,FW,0.8,1.18,Eliminated
Cristian Martínez,Panama,MFFW,2.7,0.0,Eliminated
José Luis Rodríguez,Panama,MFFW,2.6,0.39,Eliminated
Ahmed Al-Ganehi,Qatar,FW,0.4,0.0,Eliminated
Almoez Ali,Qatar,FW,0.2,4.74,Eliminated
Anis Ben Slimane,Tunisia,MFFW,2.7,0.37,Eliminated
Elias Achouri,Tunisia,FWMF,0.5,2.09,Eliminated
Hazem Mastouri,Tunisia,FW,1.0,2.02,Eliminated
Sebastian Tounekti,Tunisia,FW,0.9,0.0,Eliminated
Barış Alper Yılmaz,Türkiye,MFFW,2.0,0.5,Eliminated
Deniz Gül,Türkiye,FW,0.4,2.43,Eliminated
Kerem Aktürkoğlu,Türkiye,FW,1.4,0.7,Eliminated
Agustín Canobbio,Uruguay,FW,2.5,0.4,Eliminated
Brian Rodríguez,Uruguay,FWMF,0.5,2.2,Eliminated
Maxi Araújo,Uruguay,FWMF,2.8,1.08,Eliminated
Eldor Shomurodov,Uzbekistan,FW,3.0,0.67,Eliminated
