Player,Team,Pos,90s,SoT/90,Team_Status
Mohamed Amoura,Algeria,FWMF,0.3,0.0,Progressed
Nadhir Benbouali,Algeria,FW,0.5,4.0,Progressed
Flaco López,Argentina,FW,0.2,0.0,Progressed
Lautaro Martínez,Argentina,FW,3.4,1.16,Progressed
Marko Arnautović,Austria,FW,1.6,1.87,Progressed
Romano Schmid,Austria,MFFW,2.9,0.34,Progressed
Neymar,Brazil,FWMF,0.4,4.62,Progressed
Raphinha,Brazil,MFFW,1.4,1.4,Progressed
Rayan,Brazil,FWMF,3.2,0.62,Progressed
Jaminton Campaz,Colombia,FWMF,0.8,3.6,Progressed
Luis Díaz,Colombia,FWMF,5.3,1.13,Progressed
Luis Suárez,Colombia,FW,3.7,0.0,Progressed
Nathanaël Mbuku,Congo DR,MFFW,1.6,1.26,Progressed
Theo Bongonda,Congo DR,FWMF,0.4,0.0,Progressed
Nicolas Pépé,Côte d'Ivoire,FW,2.6,1.15,Progressed
Yan Diomandé,Côte d'Ivoire,MFFW,3.7,0.0,Progressed
Enner Valencia,Ecuador,FW,3.2,1.88,Progressed
Ivan Toney,England,FW,0.9,1.14,Progressed
Abdul Fatawu Issahaku,Ghana,FWMF,1.5,0.0,Progressed
Kōki Ogawa,Japan,FW,0.5,0.0,Progressed
Amine Sbai,Morocco,FWMF,0.1,0.0,Progressed
Oscar Bobb,Norway,FW,2.5,0.8,Progressed
Bamba Dieng,Senegal,FW,0.1,0.0,Progressed
Nicolas Jackson,Senegal,FW,2.6,1.15,Progressed
Lamine Yamal,Spain,MFFW,6.8,1.76,Progressed
Álex Baena,Spain,MFFW,5.3,0.94,Progressed
Cedric Itten,Switzerland,FWMF,0.5,0.0,Progressed
Michel Aebischer,Switzerland,MFFW,1.7,0.58,Progressed
Alejandro Zendejas,USA,FWMF,0.2,0.0,Progressed
Folarin Balogun,USA,FW,3.5,1.44,Progressed
