date,stage,round,team1,team2,corners_t1,corners_t2
2026-06-11,Group,Group Stage,Mexico,South Africa,3,1
2026-06-12,Group,Group Stage,South Korea,Czech Republic,4,5
2026-06-12,Group,Group Stage,Canada,Bosnia & Herzegovina,9,4
2026-06-13,Group,Group Stage,USA,Paraguay,3,1
2026-06-13,Group,Group Stage,Qatar,Switzerland,3,10
2026-06-13,Group,Group Stage,Brazil,Morocco,6,2
2026-06-14,Group,Group Stage,Haiti,Scotland,4,3
2026-06-14,Group,Group Stage,Australia,Turkey,5,8
2026-06-14,Group,Group Stage,Germany,Curacao,8,1
2026-06-14,Group,Group Stage,Netherlands,Japan,5,4
2026-06-15,Group,Group Stage,Ivory Coast,Ecuador,3,5
2026-06-15,Group,Group Stage,Sweden,Tunisia,4,2
2026-06-15,Group,Group Stage,Spain,Cape Verde,11,1
2026-06-15,Group,Group Stage,Belgium,Egypt,2,7
2026-06-15,Group,Group Stage,Saudi Arabia,Uruguay,4,14
2026-06-16,Group,Group Stage,Iran,New Zealand,4,1
2026-06-16,Group,Group Stage,France,Senegal,6,4
2026-06-16,Group,Group Stage,Iraq,Norway,2,5
2026-06-17,Group,Group Stage,Argentina,Algeria,2,2
2026-06-17,Group,Group Stage,Austria,Jordan,4,3
2026-06-17,Group,Group Stage,Portugal,D.R. Congo,5,4
2026-06-17,Group,Group Stage,England,Croatia,8,2
2026-06-18,Group,Group Stage,Ghana,Panama,2,2
2026-06-18,Group,Group Stage,Uzbekistan,Colombia,3,4
2026-06-18,Group,Group Stage,Czech Republic,South Africa,5,5
2026-06-18,Group,Group Stage,Switzerland,Bosnia & Herzegovina,7,3
2026-06-18,Group,Group Stage,Canada,Qatar,19,1
2026-06-19,Group,Group Stage,Mexico,South Korea,0,2
2026-06-19,Group,Group Stage,USA,Australia,7,4
2026-06-19,Group,Group Stage,Scotland,Morocco,2,5
2026-06-20,Group,Group Stage,Brazil,Haiti,4,4
2026-06-20,Group,Group Stage,Turkey,Paraguay,12,0
2026-06-20,Group,Group Stage,Netherlands,Sweden,2,5
2026-06-20,Group,Group Stage,Germany,Ivory Coast,8,3
2026-06-21,Group,Group Stage,Ecuador,Curacao,9,0
2026-06-21,Group,Group Stage,Tunisia,Japan,3,5
2026-06-21,Group,Group Stage,Spain,Saudi Arabia,6,1
2026-06-21,Group,Group Stage,Belgium,Iran,4,2
2026-06-21,Group,Group Stage,Uruguay,Cape Verde,11,4
2026-06-22,Group,Group Stage,New Zealand,Egypt,4,3
2026-06-22,Group,Group Stage,Argentina,Austria,1,3
2026-06-22,Group,Group Stage,France,Iraq,4,2
2026-06-23,Group,Group Stage,Norway,Senegal,5,4
2026-06-23,Group,Group Stage,Jordan,Algeria,1,10
2026-06-23,Group,Group Stage,Portugal,Uzbekistan,3,2
2026-06-23,Group,Group Stage,England,Ghana,9,2
2026-06-24,Group,Group Stage,Panama,Croatia,7,2
2026-06-24,Group,Group Stage,Colombia,D.R. Congo,5,4
2026-06-24,Group,Group Stage,Bosnia & Herzegovina,Qatar,5,5
2026-06-24,Group,Group Stage,Switzerland,Canada,2,7
2026-06-24,Group,Group Stage,Morocco,Haiti,9,1
2026-06-24,Group,Group Stage,Scotland,Brazil,7,6
2026-06-25,Group,Group Stage,Czech Republic,Mexico,5,1
2026-06-25,Group,Group Stage,South Africa,South Korea,4,6
2026-06-25,Group,Group Stage,Curacao,Ivory Coast,4,6
2026-06-25,Group,Group Stage,Ecuador,Germany,3,2
2026-06-26,Group,Group Stage,Japan,Sweden,2,8
2026-06-26,Group,Group Stage,Tunisia,Netherlands,4,6
2026-06-26,Group,Group Stage,Paraguay,Australia,1,3
2026-06-26,Group,Group Stage,Turkey,USA,2,9
2026-06-26,Group,Group Stage,Norway,France,4,5
2026-06-26,Group,Group Stage,Senegal,Iraq,12,3
2026-06-27,Group,Group Stage,Cape Verde,Saudi Arabia,4,2
2026-06-27,Group,Group Stage,Uruguay,Spain,1,6
2026-06-27,Group,Group Stage,Egypt,Iran,8,2
2026-06-27,Group,Group Stage,New Zealand,Belgium,5,8
2026-06-27,Group,Group Stage,Croatia,Ghana,3,2
2026-06-27,Group,Group Stage,Panama,England,3,7
2026-06-28,Group,Group Stage,Colombia,Portugal,5,2
2026-06-28,Group,Group Stage,D.R. Congo,Uzbekistan,2,4
2026-06-28,Group,Group Stage,Algeria,Austria,0,3
2026-06-28,Group,Group Stage,Jordan,Argentina,2,6
2026-06-28,Group,Group Stage,South Africa,Canada,1,4
2026-06-29,Group,Group Stage,Brazil,Japan,6,2
2026-06-29,Group,Group Stage,Germany,Paraguay,16,6
2026-06-29,Group,Group Stage,Netherlands,Morocco,5,8
2026-06-30,Group,Group Stage,Ivory Coast,Norway,14,3
2026-06-30,Group,Group Stage,France,Sweden,9,1
2026-06-30,Group,Group Stage,Mexico,Ecuador,3,8
2026-07-01,Group,Group Stage,England,D.R. Congo,5,3
2026-07-01,Group,Group Stage,Belgium,Senegal,4,2
2026-07-01,Group,Group Stage,USA,Bosnia & Herzegovina,4,3
2026-07-02,Group,Group Stage,Spain,Austria,9,0
2026-07-02,Group,Group Stage,Portugal,Croatia,9,5
2026-07-02,Group,Group Stage,Switzerland,Algeria,4,2
2026-07-03,Group,Group Stage,Australia,Egypt,4,7
2026-07-03,Group,Group Stage,Argentina,Cape Verde,8,8
2026-07-03,Group,Group Stage,Colombia,Ghana,3,2
2026-07-04,Knockout,Round of 16,Canada,Morocco,11,1
2026-07-04,Knockout,Round of 16,Paraguay,France,2,12
2026-07-05,Knockout,Round of 16,Brazil,Norway,5,5
2026-07-05,Knockout,Round of 16,Mexico,England,12,2
